epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,4226.61,0.57621,0.37052,0.88362,0.94815,0.98958,0.96879,0.72042,1.00487,0.4943,1.10653,9.76692e-05,9.76692e-05,9.76692e-05
109,4265.64,0.5755,0.36662,0.91562,0.94815,0.98958,0.96879,0.72042,1.00487,0.4943,1.10653,9.0797e-05,9.0797e-05,9.0797e-05
110,4305.18,0.56002,0.36616,0.88269,0.95742,1,0.98471,0.71227,1.00718,0.48243,1.10289,8.39248e-05,8.39248e-05,8.39248e-05
111,4344.09,0.52444,0.35305,0.86487,0.95742,1,0.98471,0.71227,1.00718,0.48243,1.10289,7.70525e-05,7.70525e-05,7.70525e-05
112,4382.9,0.55055,0.35949,0.89078,0.95742,1,0.98471,0.71227,1.00718,0.48243,1.10289,7.01802e-05,7.01802e-05,7.01802e-05
113,4421.98,0.54393,0.36612,0.89724,0.95742,1,0.98471,0.71227,1.00718,0.48243,1.10289,6.3308e-05,6.3308e-05,6.3308e-05
114,4461.2,0.5391,0.36794,0.91325,0.95774,0.99887,0.98558,0.70756,1.01544,0.48007,1.10808,5.64358e-05,5.64358e-05,5.64358e-05
115,4500.14,0.51385,0.35462,0.89392,0.95774,0.99887,0.98558,0.70756,1.01544,0.48007,1.10808,4.95635e-05,4.95635e-05,4.95635e-05
116,4539.34,0.54839,0.39012,0.89689,0.95774,0.99887,0.98558,0.70756,1.01544,0.48007,1.10808,4.26912e-05,4.26912e-05,4.26912e-05
117,4578.25,0.4908,0.35506,0.86493,0.95774,0.99887,0.98558,0.70756,1.01544,0.48007,1.10808,3.5819e-05,3.5819e-05,3.5819e-05
118,4617.61,0.5061,0.33751,0.86877,0.95721,0.99838,0.98558,0.70712,1.01912,0.48346,1.11181,2.89468e-05,2.89468e-05,2.89468e-05
119,4656.81,0.51618,0.34846,0.87774,0.95721,0.99838,0.98558,0.70712,1.01912,0.48346,1.11181,2.20745e-05,2.20745e-05,2.20745e-05
120,4696,0.47853,0.34317,0.84989,0.95721,0.99838,0.98558,0.70712,1.01912,0.48346,1.11181,1.52022e-05,1.52022e-05,1.52022e-05
